Geneid	TPM
ENSMUSG00000092553	0
ENSMUSG00000092563	0
ENSMUSG00000073702	317.68688305008
ENSMUSG00000003134	2.34836917970205
ENSMUSG00000065629	0
ENSMUSG00000003135	22.4401781945643
ENSMUSG00000085894	1.03387908705422
ENSMUSG00000077704	0.573959541661613
ENSMUSG00000048234	4.62727072347347
ENSMUSG00000064936	0
ENSMUSG00000050967	0.0435492668272305
ENSMUSG00000090677	0
ENSMUSG00000057173	0.0591710867692384
ENSMUSG00000091937	0
ENSMUSG00000026074	1.57838873956944
ENSMUSG00000086705	0
ENSMUSG00000026073	0.566661626771375
ENSMUSG00000026072	9.26554149335855
ENSMUSG00000070942	3.4643609258242
ENSMUSG00000026069	29.3240542158476
ENSMUSG00000026070	0.145321415654018
ENSMUSG00000026068	0.00935064419176206
ENSMUSG00000026065	0
ENSMUSG00000088965	0
ENSMUSG00000026062	0
ENSMUSG00000041945	2.00801845502297
ENSMUSG00000079588	0
ENSMUSG00000053640	0
ENSMUSG00000060424	0
ENSMUSG00000045515	0
ENSMUSG00000060679	11.8462721157011
ENSMUSG00000077448	0
ENSMUSG00000079587	0
ENSMUSG00000041907	0
ENSMUSG00000089088	0
ENSMUSG00000070939	6.31069943816997
ENSMUSG00000041878	0.20235753071403
ENSMUSG00000010290	4.80180727017654
ENSMUSG00000008136	0
ENSMUSG00000067579	0
ENSMUSG00000066877	1.32504850066406
ENSMUSG00000026051	0
ENSMUSG00000057363	3.62933412355381
ENSMUSG00000090243	0.296179278730778
ENSMUSG00000088848	0
ENSMUSG00000077132	0
ENSMUSG00000041763	47.1156792486596
ENSMUSG00000047343	0.176192231393797
ENSMUSG00000090106	0.701506106475305
ENSMUSG00000091844	1.91991144930083
ENSMUSG00000026049	18.6521950740396
ENSMUSG00000026047	1.48197132787628
ENSMUSG00000041684	1.44210216165481
ENSMUSG00000026048	5.95538888166799
ENSMUSG00000046828	0
ENSMUSG00000089703	0
ENSMUSG00000078019	0
ENSMUSG00000056870	0
ENSMUSG00000089877	0
ENSMUSG00000026043	0.0300896221054581
ENSMUSG00000026042	0.0131655822297524
ENSMUSG00000065010	0
ENSMUSG00000065255	0
ENSMUSG00000087764	0
ENSMUSG00000025995	6.0900307526317
ENSMUSG00000084817	8.30730915562861
ENSMUSG00000091090	0.421465618042573
ENSMUSG00000025993	81.8894228907977
ENSMUSG00000070896	0
ENSMUSG00000090682	0
